land_number,max,min,mean,std_dev,kurtosis,skew
Grid5_Lambda2.0_0,1.01,0.01,0.49046201891481517,0.28014938623406727,-0.844212742691302,0.004661222987561313
Grid40_Lambda2.0_2,1.01,0.01,0.5615644887370198,0.15968857221766813,0.0630551193199489,-0.12206902665772512
Grid40_Lambda2.0_3,1.0099999999999998,0.01,0.5737876838039249,0.16872201464129452,-0.18407012207359985,-0.08442418251627358
Grid40_Lambda2.0_8,1.01,0.01,0.43952000473169633,0.16073696013337616,-0.10050215574523769,-0.02441342807895209
Grid40_Lambda2.0_4,1.01,0.01,0.5083856160053357,0.1563805666797525,-0.10760207680962264,-0.0839367670126944
Grid40_Lambda2.0_5,1.01,0.01,0.48577960300715617,0.15874744118411194,0.0033232066145205685,0.15816357501641354
Grid40_Lambda2.0_9,1.01,0.01,0.41834030397364785,0.16463279301836684,-0.18930615317812638,0.05696041818747432
Grid40_Lambda2.0_6,1.01,0.01,0.45723046464484796,0.14615769775469048,0.39345621398183983,0.168636574631952
Grid40_Lambda2.0_7,1.01,0.01,0.5512145634403925,0.17803467231096035,-0.5637372028464638,-0.0016715058809834967
Grid40_Lambda2.0_0,1.01,0.01,0.4836644812672254,0.19591835745845476,-0.45471501831416683,0.14726738738930334
Grid40_Lambda2.0_1,1.01,0.01,0.5104553776882443,0.16421612141704436,-0.3500201303202064,0.042391842590073135
Grid40_Lambda8.0_13,1.01,0.01,0.563458780186955,0.21714706435787934,-0.7345144211368879,-0.1544996939030022
Grid40_Lambda8.0_2,1.0099999999999998,0.01,0.569523445456521,0.2344366883161985,-0.7110576374200948,-0.36033898827927735
Grid40_Lambda8.0_3,1.0099999999999998,0.01,0.5068824129153477,0.25549147159574803,-1.057002139854426,-0.16150795640829668
Grid40_Lambda8.0_12,1.01,0.01,0.3878924093916949,0.18459958275257482,0.7620022101760462,0.541495332820853
Grid40_Lambda8.0_19,1.01,0.01,0.4593685932422288,0.25855353556291605,-1.0407436806108759,0.3652074717173161
Grid40_Lambda8.0_4,1.01,0.01,0.4899567598437436,0.20890755545619025,-0.7186813967430701,-0.21595739318574123
Grid40_Lambda8.0_8,1.01,0.01,0.4566898103628857,0.23137527675123173,-0.5268030487308355,0.3111098781221764
Grid40_Lambda8.0_15,1.01,0.01,0.4713451976231668,0.21261964430207134,-0.14705283417960757,0.16234546623357476
Grid40_Lambda8.0_14,1.01,0.01,0.5630908312618164,0.18650782505060945,-0.061048677468281465,-0.18385564195968065
Grid40_Lambda8.0_9,1.01,0.01,0.4887438710337834,0.198009676556116,-0.051256585252133835,0.5570762308600667
Grid40_Lambda8.0_5,1.0099999999999998,0.01,0.590518495116571,0.20386083975469593,-0.606233759970956,-0.24899085624909373
Grid40_Lambda8.0_18,1.01,0.01,0.44014734073012235,0.2110363532141803,-0.7639249989727812,0.04093358044930286
Grid40_Lambda8.0_6,1.0099999999999998,0.01,0.49365279475469626,0.2615983860061696,-1.0172048149453317,0.13681708022310168
Grid40_Lambda8.0_17,1.0099999999999998,0.01,0.436941391385878,0.19015511356935716,-0.01653143178630545,0.10540807491631578
Grid40_Lambda8.0_16,1.01,0.01,0.4597614668333713,0.20865683145609845,-0.17409871527506215,0.2828242698274789
Grid40_Lambda8.0_7,1.01,0.01,0.5783711186908941,0.1694548271168409,0.3249359245692358,-0.3333873745192104
Grid40_Lambda8.0_11,1.0099999999999998,0.01,0.40742035963173123,0.17081087638728515,0.6441242070581197,0.6300086625000935
Grid40_Lambda8.0_0,1.01,0.01,0.5473502247348735,0.25416684860287475,-1.0019603113043398,-0.15780423317866574
Grid40_Lambda8.0_1,1.01,0.01,0.4941779676538111,0.22033783964254622,-0.5835319972840196,-0.1934693943066842
Grid40_Lambda8.0_10,1.0099999999999998,0.01,0.5513722578326667,0.21446735088844532,-0.7538398020132977,0.12270209405853923
Grid8_Lambda2.0_0,1.01,0.01,0.4846608082243158,0.26946486985825024,-0.8736076299374838,0.009776236727937393
Grid40_Lambda6.0_0,1.01,0.01,0.49566683678921875,0.2073421359323243,-0.5797332815973677,-0.08291827407957184
Grid40_Lambda6.0_1,1.01,0.01,0.6019463492192522,0.17658543374925847,0.9910729854471527,-0.8584695347201574
Grid40_Lambda6.0_6,1.01,0.01,0.4867408124923507,0.2161286126984813,-0.5872240183072135,0.19509906670288274
Grid40_Lambda6.0_7,1.01,0.01,0.5299422542246546,0.20013223357684579,-0.2998703064427972,-0.24885025367896904
Grid40_Lambda6.0_4,1.0099999999999998,0.01,0.4992778627463539,0.24336905238340747,-0.7262226704403463,-0.05754853193361771
Grid40_Lambda6.0_8,1.01,0.01,0.5127305834334577,0.1877507019808186,-0.10579227914576483,-0.030100273149533206
Grid40_Lambda6.0_9,1.0099999999999998,0.01,0.4877264927987979,0.20515853035396875,-0.5527644649423125,0.12223872154425933
Grid40_Lambda6.0_5,1.01,0.01,0.548412586995854,0.1668739655326698,0.30185498867955607,-0.07057902000054529
Grid40_Lambda6.0_2,1.01,0.01,0.432794848628722,0.2066526306994688,-0.38085794133905626,0.35025879652236136
Grid40_Lambda6.0_3,1.0100000000000002,0.01,0.5525581844066145,0.21146282770357064,-0.5191473087540097,-0.24272682087811326
Grid40_Lambda10.0_6,1.01,0.01,0.4057818617633323,0.2102576518653897,-0.26331678160971617,0.3509756478675097
Grid40_Lambda10.0_7,1.01,0.01,0.5695722837741638,0.2119873486944138,-0.5679683665455975,-0.2582098202654404
Grid40_Lambda10.0_0,1.01,0.01,0.6898699149866501,0.18933586270098113,1.5963188398920103,-1.2083006063969115
Grid40_Lambda10.0_11,1.01,0.01,0.5221694560626973,0.2826423386992093,-1.266379767090431,-0.03340786011103701
Grid40_Lambda10.0_10,1.01,0.01,0.6173904091782799,0.22015743201998578,-0.6263386433033333,-0.12958768538344914
Grid40_Lambda10.0_1,1.01,0.01,0.4109784343542976,0.2505522346357007,-0.8513526755280321,0.4545561855223629
Grid40_Lambda10.0_2,1.01,0.01,0.5286906360254242,0.24442800855627841,-0.8116412159892321,-0.17338973539180186
Grid40_Lambda10.0_3,1.01,0.01,0.5685589765243464,0.25995390123274015,-0.775457249996653,-0.49027502139517976
Grid40_Lambda10.0_4,1.01,0.01,0.47327378918790813,0.24621062627368762,-0.6386034675567949,0.28614022677254597
